Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
63,Oshae Brissett\brissos01,SF,21,TOR,17,128,5.4,.440,.441,.235,7.6,11.3,9.5,5.2,1.5,0.8,15.7,14.9,,-0.1,0.2,0.1,.019,,-4.8,-0.4,-5.2,-0.1
64,Ryan Broekhoff\broekry01,SG,29,DAL,17,180,13.3,.568,.864,.136,3.0,21.8,12.5,8.3,1.4,1.9,8.8,16.3,,0.2,0.2,0.4,.115,,0.2,-0.7,-0.4,0.1
65,Malcolm Brogdon\brogdma01,PG,27,IND,41,1262,18.0,.540,.305,.245,2.9,13.9,8.4,35.2,1.0,0.6,14.2,25.6,,1.8,1.2,3.0,.112,,1.9,-0.9,1.0,1.0
66,Dillon Brooks\brookdi01,SG,24,MEM,54,1528,12.2,.524,.386,.194,3.7,8.8,6.3,10.3,1.6,1.2,9.8,24.5,,0.2,1.1,1.3,.040,,-0.9,-1.7,-2.7,-0.3
67,Bruce Brown\brownbr01,SG,23,DET,54,1507,11.8,.516,.219,.283,4.0,14.4,9.2,19.8,2.0,1.6,17.2,15.9,,0.6,1.4,2.0,.063,,-1.9,1.3,-0.6,0.5
68,Charlie Brown\brownch02,SG,22,ATL,10,40,11.1,.472,.474,.263,5.3,5.4,5.4,7.4,2.3,4.2,12.4,25.2,,0.0,0.0,0.0,-0.027,,-4.3,-2.1,-6.4,0.0
69,Jaylen Brown\brownja02,SF,23,BOS,44,1480,17.2,.596,.361,.289,3.4,16.9,10.2,10.4,1.6,0.7,12.4,24.6,,1.9,2.1,4.0,.129,,1.1,-0.5,0.6,1.0
70,Moses Brown\brownmo01,C,20,POR,9,33,6.8,.407,.000,.800,9.5,33.8,21.8,4.1,1.4,2.5,18.2,21.2,,-0.1,0.0,0.0,-0.060,,-10.1,-1.3,-11.4,-0.1
71,Sterling Brown\brownst02,SF,24,MIL,37,556,10.6,.504,.508,.182,4.9,20.1,13.0,8.2,1.7,0.8,13.7,16.8,,-0.1,1.1,1.1,.091,,-3.1,1.0,-2.1,0.0
72,Troy Brown\browntr01,SG,20,WAS,50,1292,14.1,.537,.278,.229,4.5,19.7,11.8,12.3,2.4,0.3,9.9,16.9,,1.2,0.8,2.0,.074,,-0.7,-0.3,-0.9,0.3
