,Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
299,250,Stanley Johnson\johnsst04,PF,23,TOR,17,84,2.5,0.353,0.429,0.14300000000000002,3.8,18.4,11.3,9.5,1.7,2.3,21.2,19.3,,-0.3,0.1,-0.2,-0.09,,-9.2,0.9,-8.3,-0.1
300,251,Tyler Johnson\johnsty01,SG,27,PHO,31,515,8.1,0.48100000000000004,0.485,0.187,2.1,9.2,5.6,13.5,1.1,1.3,11.5,17.3,,-0.2,0.3,0.1,0.013000000000000001,,-3.1,-1.5,-4.6,-0.3
301,252,Nikola Jokić\jokicni01,C,24,DEN,55,1789,25.3,0.597,0.244,0.272,8.2,26.5,17.3,34.7,1.8,1.9,14.8,27.0,,5.2,2.8,8.0,0.21600000000000003,,5.4,3.1,8.4,4.7
302,253,Damian Jones\jonesda03,C,24,ATL,51,850,15.9,0.718,0.047,0.488,8.9,15.8,12.3,5.5,1.4,3.7,11.8,11.6,,2.2,0.6,2.7,0.155,,-0.2,0.8,0.6,0.5
303,254,Derrick Jones\jonesde02,SF,22,MIA,40,988,13.7,0.598,0.39399999999999996,0.382,4.8,13.7,9.4,5.3,2.0,2.8,7.9,14.1,,1.5,1.3,2.8,0.135,,-0.3,1.3,1.0,0.7
304,255,Tyus Jones\jonesty01,PG,23,MEM,54,1018,15.4,0.536,0.264,0.10800000000000001,0.7,8.0,4.4,32.2,2.1,0.5,11.9,16.2,,1.6,0.7,2.3,0.11,,-0.5,-2.2,-2.7,-0.2
305,256,DeAndre Jordan\jordade01,C,31,BRK,45,958,20.5,0.688,0.0,0.41100000000000003,11.8,35.4,23.9,13.7,0.8,3.9,19.2,14.3,,2.3,1.9,4.2,0.209,,-0.7,4.0,3.3,1.3
306,257,Cory Joseph\josepco01,PG,28,SAC,54,1338,9.6,0.498,0.36,0.14800000000000002,2.6,9.7,6.0,19.0,1.4,1.3,14.6,13.2,,0.7,0.8,1.5,0.052000000000000005,,-2.1,-0.2,-2.4,-0.1
307,258,Mfiondu Kabengele\kabenmf01,C,22,LAC,12,64,18.2,0.614,0.625,0.156,1.6,15.7,8.8,4.8,1.5,2.7,5.5,23.4,,0.1,0.1,0.2,0.174,,1.4,-2.0,-0.7,0.0
308,259,Frank Kaminsky\kaminfr01,C,26,PHO,32,718,14.6,0.5539999999999999,0.401,0.315,4.5,20.1,12.1,14.8,0.9,1.2,9.4,20.8,,0.8,0.6,1.4,0.095,,-0.2,-0.7,-0.9,0.2
309,260,Enes Kanter\kanteen01,C,27,BOS,42,783,22.9,0.611,0.025,0.28600000000000003,16.9,30.4,23.7,8.5,1.0,4.1,12.5,19.7,,2.1,1.5,3.6,0.222,,0.4,1.8,2.2,0.8
310,261,Luke Kennard\kennalu01,SG,23,DET,28,922,14.4,0.589,0.535,0.21899999999999997,1.1,11.0,6.0,19.0,0.6,0.5,10.3,19.7,,1.7,0.3,2.0,0.10400000000000001,,1.7,-2.4,-0.6,0.3
311,262,Stanton Kidd\kiddst01,SF,27,UTA,4,15,-13.7,0.0,0.33299999999999996,0.0,0.0,20.8,10.9,7.9,0.0,0.0,40.0,14.6,,-0.1,0.0,-0.1,-0.321,,-16.3,0.5,-15.8,-0.1
312,263,Michael Kidd-Gilchrist\kiddgmi01,PF,26,CHO,12,160,6.1,0.42100000000000004,0.321,0.17,5.9,18.4,11.9,9.5,0.0,1.7,10.9,17.5,,-0.2,0.1,-0.1,-0.03,,-6.0,-2.0,-8.0,-0.2
313,264,Louis King\kinglo02,SF,20,DET,10,62,6.3,0.44799999999999995,0.524,0.14300000000000002,1.8,16.5,9.1,11.7,1.6,0.0,8.2,17.0,,0.0,0.0,0.0,-0.002,,-3.8,-1.9,-5.8,-0.1
314,265,Maxi Kleber\klebima01,C,28,DAL,54,1347,14.0,0.608,0.619,0.185,6.8,15.1,11.0,5.6,0.5,3.7,8.7,13.8,,2.6,1.1,3.7,0.131,,1.2,0.5,1.6,1.2
315,266,Brandon Knight\knighbr03,PG,28,TOT,17,254,4.6,0.428,0.7559999999999999,0.14400000000000002,1.3,7.5,4.3,17.1,1.1,0.7,17.3,19.4,,-0.5,0.0,-0.4,-0.084,,-3.8,-3.6,-7.4,-0.3
316,266,Brandon Knight\knighbr03,PG,28,CLE,16,241,5.5,0.431,0.7440000000000001,0.151,1.4,7.9,4.6,18.0,1.0,0.7,14.9,19.0,,-0.3,0.0,-0.3,-0.064,,-3.1,-3.7,-6.8,-0.3
317,266,Brandon Knight\knighbr03,PG,28,DET,1,13,-12.8,0.375,1.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,50.0,26.7,,-0.1,0.0,-0.1,-0.462,,-15.7,-1.8,-17.5,-0.1
318,267,Kevin Knox\knoxke01,SF,20,NYK,54,988,9.0,0.48,0.512,0.251,2.1,15.1,8.3,7.5,1.0,2.0,8.4,17.8,,-0.2,0.6,0.4,0.017,,-3.0,-1.3,-4.3,-0.6
319,268,John Konchar\konchjo01,SG,23,MEM,6,34,8.5,0.643,0.4,0.2,0.0,6.1,3.1,10.9,0.0,0.0,0.0,6.7,,0.1,0.0,0.1,0.08800000000000001,,-2.0,-3.0,-5.0,0.0
320,269,Furkan Korkmaz\korkmfu01,SG,22,PHI,54,1151,11.8,0.5720000000000001,0.626,0.121,1.4,10.1,5.8,6.6,1.2,1.0,8.0,18.4,,0.8,1.2,2.1,0.087,,-0.3,-1.7,-1.9,0.0
321,270,Luke Kornet\kornelu01,C,24,CHI,35,544,12.8,0.5379999999999999,0.574,0.153,4.2,13.0,8.4,8.6,0.9,4.5,6.2,16.4,,0.5,0.6,1.1,0.094,,-1.3,0.4,-0.9,0.1
322,271,Kyle Korver\korveky01,SF,38,MIL,47,782,10.6,0.6,0.797,0.131,1.6,10.0,6.1,9.0,1.2,1.2,13.5,15.2,,0.6,1.3,1.9,0.114,,-0.2,-0.1,-0.3,0.3
323,272,Rodions Kurucs\kurucro01,PF,21,BRK,32,424,9.8,0.609,0.466,0.19,4.0,14.4,9.3,9.9,1.4,0.4,20.3,15.5,,0.1,0.5,0.6,0.068,,-2.4,-0.1,-2.6,-0.1
324,273,Kyle Kuzma\kuzmaky01,PF,24,LAL,44,1086,12.1,0.537,0.413,0.233,4.3,15.0,9.8,7.6,0.7,1.5,12.1,22.8,,0.2,1.2,1.4,0.06,,-2.0,-1.5,-3.5,-0.4
325,274,Skal Labissière\labissk01,C,23,POR,33,567,15.4,0.588,0.08800000000000001,0.22399999999999998,11.9,18.6,15.3,10.3,0.6,4.6,15.7,14.3,,1.0,0.4,1.4,0.122,,-0.6,1.6,1.1,0.4
