,Rank,Name,Age,games,min_played,FG%,Avg_shot_dist,%_2point_attempts,%_FGA_0-3_dist,%_FGA_3-10_dist,%_FGA_10-16_dist,%_FGA_16-3pt_dist,%_3point_attempts,%FG_2point,%_FG_0-3_dist,%_FG_3-10_dist,%_FG_10-16_dist,%_FG_10-16_dist,3pt%,assisted_2pters,FG%_dunk_attempts,made_dunks,assisted_3pt%,%_corner_3pters,%_corner_3_made,3-Pt Field Goals.3,3-Pt Field Goals.4
0,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves
1,Rk,,Age,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P%,0-3,3-10,10-16,16-3pt,3P%,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
109,17,Keita Bates-Diop\bateske01,24,2,19,1.000,1.0,1.000,1.000,.000,.000,.000,.000,1.000,1.000,,,,,1.000,.000,0,,,,0,0
110,18,Noah Vonleh\vonleno01,24,2,14,1.000,12.0,.500,.500,.000,.000,.000,.500,1.000,1.000,,,,1.000,.000,.000,0,1.000,1.000,1.000,0,0
111,1,Donovan Mitchell\mitchdo01,23,55,1892,.457,14.5,.661,.171,.232,.142,.116,.339,.506,.611,.438,.500,.496,.360,.215,.025,20,.591,.114,.333,3,0
112,2,Rudy Gobert\goberru01,27,54,1869,.688,2.1,1.000,.828,.166,.006,.000,.000,.688,.751,.403,.000,,,.728,.428,184,,,,0,0
113,3,Bojan Bogdanović\bogdabo02,30,55,1831,.449,15.5,.509,.195,.206,.077,.031,.491,.475,.685,.363,.328,.269,.422,.512,.029,20,.866,.272,.486,0,0
114,4,Joe Ingles\inglejo01,32,56,1688,.432,18.0,.379,.142,.171,.047,.020,.621,.497,.703,.351,.476,.333,.393,.353,.004,2,.618,.164,.370,1,0
115,5,Royce O'Neale\onealro01,26,56,1624,.445,17.5,.375,.235,.114,.007,.018,.625,.520,.625,.355,.000,.400,.400,.906,.059,13,1.000,.341,.397,4,0
116,6,Mike Conley\conlemi01,32,33,927,.390,15.7,.585,.144,.210,.152,.078,.415,.416,.561,.361,.333,.452,.354,.229,.000,0,.586,.189,.387,2,1
117,7,Emmanuel Mudiay\mudiaem01,23,46,742,.472,12.3,.736,.271,.194,.208,.063,.264,.512,.571,.455,.492,.500,.360,.290,.025,4,.704,.307,.304,1,0
118,8,Georges Niang\niangge01,26,50,677,.458,18.8,.311,.116,.133,.044,.018,.689,.543,.769,.533,.200,.000,.419,.447,.004,1,1.000,.400,.484,0,0
119,9,Jordan Clarkson\clarkjo01,27,26,672,.491,15.0,.533,.179,.256,.071,.027,.467,.587,.800,.512,.417,.333,.382,.219,.015,5,.733,.293,.435,0,0
120,10,Jeff Green\greenje02,33,30,553,.385,16.8,.467,.200,.200,.041,.026,.533,.451,.564,.410,.250,.200,.327,.610,.062,8,.941,.375,.410,5,0
121,11,Tony Bradley\bradlto01,22,42,430,.640,2.6,1.000,.752,.224,.016,.008,.000,.640,.723,.393,.500,.000,,.675,.216,22,,,,0,0
122,12,Ed Davis\davised01,30,25,268,.412,3.5,1.000,.618,.353,.000,.029,.000,.412,.571,.083,,1.000,,.500,.059,2,,,,0,0
123,13,Dante Exum\exumda01,24,11,83,.435,9.1,.739,.261,.435,.043,.000,.261,.471,.500,.400,1.000,,.333,.250,.130,2,1.000,.500,.333,0,0
124,14,Rayjon Tucker\tuckera01,22,13,75,.421,11.6,.684,.263,.316,.105,.000,.316,.615,1.000,.333,.500,,.000,.625,.053,1,,.167,.000,0,0
125,15,Juwan Morgan\morgaju01,22,15,68,.563,7.4,.750,.688,.063,.000,.000,.250,.667,.636,1.000,,,.250,.625,.063,0,1.000,.750,.000,0,0
126,16,Nigel Williams-Goss\willini01,25,9,28,.143,15.3,.714,.000,.429,.143,.143,.286,.200,,.333,.000,.000,.000,1.000,.000,0,,.000,,0,0
127,17,Stanton Kidd\kiddst01,27,4,15,.000,11.7,.667,.000,.667,.000,.000,.333,.000,,.000,,,.000,,.000,0,,.000,,0,0
128,18,Jarrell Brantley\brantja01,23,3,11,,,,,,,,,,,,,,,,,0,,,,0,0
129,19,Miye Oni\onimi01,22,3,8,,,,,,,,,,,,,,,,,0,,,,0,0
130,20,Justin Wright-Foreman\wrighju02,22,1,2,,,,,,,,,,,,,,,,,0,,,,0,0
131,1,Shai Gilgeous-Alexander\gilgesh01,21,57,2025,.464,11.1,.765,.285,.280,.129,.071,.235,.500,.608,.415,.459,.475,.347,.267,.020,17,.600,.124,.480,0,0
